material,spectrum_id,ion_mode,mz,intensity,category,reason,parent_elements
EVA,EVA_-EVA-1-All,negative,25.00919138078368,747.7749983846701,small_fragment,"m/z 25.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
EVA,EVA_-EVA-1-All,negative,49.00415102453896,43.09484909741517,small_fragment,"m/z 49.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
FEP,FEP_+FEP-1,positive,73.99532712853643,336.4402298850575,small_fragment,"m/z 74.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'F']"
FEP,FEP_+FEP-1,positive,92.99671629007008,1633.180459770115,small_fragment,"m/z 93.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'F']"
FEP,FEP_+FEP-1,positive,116.99226052543284,295.26724137931035,medium_fragment,"m/z 117.0 in 100-300 range — medium fragment, likely structural or multi-bond break product","['C', 'F']"
FEP,FEP_+FEP-1,positive,284.80127880817054,89.20459770114942,medium_fragment,"m/z 284.8 in 100-300 range — medium fragment, likely structural or multi-bond break product","['C', 'F']"
FEP,FEP_-FEP-1,negative,38.00229353272789,204.33098215913225,small_fragment,"m/z 38.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'F']"
FEP,FEP_-FEP-1,negative,39.01022212966818,19.40907323080232,small_fragment,"m/z 39.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'F']"
FEP,FEP_-FEP-1,negative,43.00333346060221,74.39899736994411,small_fragment,"m/z 43.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'F']"
FEP,FEP_-FEP-1,negative,48.004711127744,19.68761891321824,small_fragment,"m/z 48.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'F']"
FEP,FEP_-FEP-1,negative,55.002300039518346,26.82942604973334,small_fragment,"m/z 55.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'F']"
FEP,FEP_-FEP-1,negative,67.00160928410985,27.321837023895625,small_fragment,"m/z 67.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'F']"
FEP,FEP_-FEP-1,negative,73.99928999501898,6.374630502768237,small_fragment,"m/z 74.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'F']"
FEP,FEP_-FEP-1,negative,92.99691421734356,61.51214353334694,small_fragment,"m/z 93.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'F']"
FEP,FEP_-FEP-1,negative,118.99492402576736,49.93603361364303,medium_fragment,"m/z 119.0 in 100-300 range — medium fragment, likely structural or multi-bond break product","['C', 'F']"
Nomex,Nomex_+Nomex-1,positive,27.022293432725714,1475.4114595614242,small_fragment,"m/z 27.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'N', 'O']"
Nomex,Nomex_+Nomex-1,positive,29.038364547892133,1167.2954491865123,small_fragment,"m/z 29.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'N', 'O']"
Nomex,Nomex_+Nomex-1,positive,39.02202499914645,1663.0417354397548,small_fragment,"m/z 39.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'N', 'O']"
Nomex,Nomex_+Nomex-1,positive,41.03846001044708,3485.3053525112,small_fragment,"m/z 41.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'N', 'O']"
Nomex,Nomex_+Nomex-1,positive,43.054344795056345,1341.216694175902,small_fragment,"m/z 43.1 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'N', 'O']"
Nomex,Nomex_+Nomex-1,positive,55.05413199049599,1211.2190521103514,small_fragment,"m/z 55.1 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'N', 'O']"
Nomex,Nomex_-Nomex-1,negative,25.00771213365994,610.49830534293,small_fragment,"m/z 25.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'N', 'O']"
Nomex,Nomex_-Nomex-1,negative,26.00668844977196,2026.7770097871205,small_fragment,"m/z 26.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'N', 'O']"
Nomex,Nomex_-Nomex-1,negative,49.99955686413411,85.89912030161088,small_fragment,"m/z 50.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'N', 'O']"
Nomex,Nomex_-Nomex-1,negative,79.95305966665349,433.4413915229064,small_fragment,"m/z 80.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'N', 'O']"
PEEK,PEEK_+PEEK-1,positive,27.02245269896949,422.7357776412952,small_fragment,"m/z 27.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEEK,PEEK_+PEEK-1,positive,29.038446714496978,364.11666404810535,small_fragment,"m/z 29.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEEK,PEEK_+PEEK-1,positive,39.02234998004333,591.3144701698257,small_fragment,"m/z 39.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEEK,PEEK_+PEEK-1,positive,41.03848566863475,1018.2080470769714,small_fragment,"m/z 41.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEEK,PEEK_+PEEK-1,positive,43.05468250319048,588.6963849570794,small_fragment,"m/z 43.1 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEEK,PEEK_+PEEK-1,positive,51.02213524610415,225.93089854741265,small_fragment,"m/z 51.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEEK,PEEK_+PEEK-1,positive,55.05433379626682,583.9958293459786,small_fragment,"m/z 55.1 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEEK,PEEK_-PEEK-1,negative,25.008505109703783,639.6409342554914,small_fragment,"m/z 25.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEEK,PEEK_-PEEK-1,negative,49.0086005714118,245.22169280836243,small_fragment,"m/z 49.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEEK,PEEK_-PEEK-1,negative,71.01457795990537,27.90026132640809,small_fragment,"m/z 71.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEEK,PEEK_-PEEK-1,negative,73.00843534710967,102.90447188703745,small_fragment,"m/z 73.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEI,PEI_+PEI-1,positive,27.02236373073675,1325.1128830819482,small_fragment,"m/z 27.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEI,PEI_+PEI-1,positive,29.03875342951208,1468.5152272072246,small_fragment,"m/z 29.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEI,PEI_+PEI-1,positive,39.02225085365629,1274.394754539341,small_fragment,"m/z 39.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEI,PEI_+PEI-1,positive,45.0333721470524,329.7579018157364,small_fragment,"m/z 45.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEI,PEI_+PEI-1,positive,51.021687,18.973964838120857,small_fragment,"m/z 51.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEI,PEI_+PEI-1,positive,53.03804893297551,359.30925160918434,small_fragment,"m/z 53.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEI,PEI_+PEI-1,positive,55.05541038498165,1491.05101354597,small_fragment,"m/z 55.1 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEI,PEI_-PEI-1,negative,25.00839288368315,583.7207973243616,small_fragment,"m/z 25.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEI,PEI_-PEI-1,negative,26.00481355104349,427.6819747245593,small_fragment,"m/z 26.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEI,PEI_-PEI-1,negative,42.000299177252025,285.50613001495856,small_fragment,"m/z 42.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEI,PEI_-PEI-1,negative,49.00846827641309,159.7742305800033,small_fragment,"m/z 49.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEN,PEN_+PEN-1,positive,39.02242395651899,836.8154761904761,small_fragment,"m/z 39.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEN,PEN_+PEN-1,positive,41.0385693303644,1331.3921957671955,small_fragment,"m/z 41.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEN,PEN_+PEN-1,positive,43.05475140654585,729.6924603174604,small_fragment,"m/z 43.1 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEN,PEN_+PEN-1,positive,51.022312536833645,382.99603174603175,small_fragment,"m/z 51.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEN,PEN_-PEN-1,negative,25.0090603802807,1313.300210957986,small_fragment,"m/z 25.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEN,PEN_-PEN-1,negative,36.000495,5.709272293527336,small_fragment,"m/z 36.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEN,PEN_-PEN-1,negative,48.00045008333741,121.046903649376,small_fragment,"m/z 48.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEN,PEN_-PEN-1,negative,49.009198359953935,601.8954673606593,small_fragment,"m/z 49.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PEN,PEN_-PEN-1,negative,97.00789726174628,151.3388931606238,small_fragment,"m/z 97.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PFA,PFA_+PFA-1,positive,73.99656274586184,313.7254459827727,small_fragment,"m/z 74.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'F']"
PFA,PFA_+PFA-1,positive,92.9985883523723,1127.9237722186072,small_fragment,"m/z 93.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'F']"
PFA,PFA_+PFA-1,positive,116.99357937369751,27.019243778145714,medium_fragment,"m/z 117.0 in 100-300 range — medium fragment, likely structural or multi-bond break product","['C', 'F']"
PFA,PFA_-PFA-1,negative,37.99774930767995,310.7660638707195,small_fragment,"m/z 38.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'F']"
PFA,PFA_-PFA-1,negative,39.00537738175476,7.472681800692574,small_fragment,"m/z 39.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'F']"
PFA,PFA_-PFA-1,negative,42.99845311466464,75.82964601769912,small_fragment,"m/z 43.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'F']"
PFA,PFA_-PFA-1,negative,54.99766718442648,12.307425933051173,small_fragment,"m/z 55.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'F']"
PFA,PFA_-PFA-1,negative,92.99380947396672,17.722681800692573,small_fragment,"m/z 93.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'F']"
PFA,PFA_-PFA-1,negative,118.9928182445147,276.3898614851866,medium_fragment,"m/z 119.0 in 100-300 range — medium fragment, likely structural or multi-bond break product","['C', 'F']"
PFA,PFA_-PFA-1,negative,184.99236506217187,1007.6014813389766,medium_fragment,"m/z 185.0 in 100-300 range — medium fragment, likely structural or multi-bond break product","['C', 'F']"
PFA,PFA_-PFA-1,negative,185.02364127107543,6.225471335128896,medium_fragment,"m/z 185.0 in 100-300 range — medium fragment, likely structural or multi-bond break product","['C', 'F']"
PI,PI_+PI-1,positive,29.03869024871648,49.26995412099566,small_fragment,"m/z 29.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'N', 'O']"
PI,PI_+PI-1,positive,39.02214929497348,33.54136889338588,small_fragment,"m/z 39.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'N', 'O']"
PI,PI_+PI-1,positive,41.03874071221733,95.54103982709468,small_fragment,"m/z 41.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'N', 'O']"
PI,PI_+PI-1,positive,43.0550049338733,69.69019639885073,small_fragment,"m/z 43.1 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'N', 'O']"
PI,PI_+PI-1,positive,55.05447483283126,39.30976666513699,small_fragment,"m/z 55.1 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'N', 'O']"
PI,PI_+PI-1,positive,57.07084729365906,8.915793726921988,small_fragment,"m/z 57.1 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'N', 'O']"
PI,PI_+PI-1,positive,291.8136632982651,251.25196292519783,medium_fragment,"m/z 291.8 in 100-300 range — medium fragment, likely structural or multi-bond break product","['C', 'N', 'O']"
PI,PI_+PI-1,positive,307.80755109163243,109.73789981834196,large_fragment,m/z 307.8 in 300-500 range — large fragment or oligomer,"['C', 'N', 'O']"
PI,PI_-PI-1,negative,25.00800037805852,527.9351690330559,small_fragment,"m/z 25.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'N', 'O']"
PI,PI_-PI-1,negative,26.0063247517604,1977.7794952193783,small_fragment,"m/z 26.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'N', 'O']"
PI,PI_-PI-1,negative,49.00797249941126,239.5704065184269,small_fragment,"m/z 49.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'N', 'O']"
PI,PI_-PI-1,negative,50.00390936015647,432.5275465365337,small_fragment,"m/z 50.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'N', 'O']"
PI,PI_-PI-1,negative,73.00731778114783,160.40254377635966,small_fragment,"m/z 73.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'N', 'O']"
PI,PI_-PI-1,negative,74.00273657119838,110.31256210391504,small_fragment,"m/z 74.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'N', 'O']"
POMC,POMC_+POMC-1-All,positive,29.002206896790387,153.3195622737447,small_fragment,"m/z 29.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
POMC,POMC_+POMC-1-All,positive,41.03781480943403,235.99151629038053,small_fragment,"m/z 41.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
POMC,POMC_+POMC-1-All,positive,44.02615079258,1297.9343410617073,small_fragment,"m/z 44.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
POMC,POMC_+POMC-1-All,positive,55.05208026663376,198.73711553872937,small_fragment,"m/z 55.1 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
POMC,POMC_+POMC-1-All,positive,73.02604980909979,793.2420482493714,small_fragment,"m/z 73.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
POMC,POMC_+POMC-1-All,positive,89.01983236466995,991.0610163871004,small_fragment,"m/z 89.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
POMC,POMC_-POMC-1-All,negative,25.008924366141176,328.6752239214948,small_fragment,"m/z 25.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
POMC,POMC_-POMC-1-All,negative,26.003809806028123,40.342261649911805,small_fragment,"m/z 26.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
POMC,POMC_-POMC-1-All,negative,41.00427918563513,288.95570378996763,small_fragment,"m/z 41.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
POMC,POMC_-POMC-1-All,negative,43.01905924994804,69.00785223750235,small_fragment,"m/z 43.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
POMC,POMC_-POMC-1-All,negative,44.99939202247897,1359.2899590690345,small_fragment,"m/z 45.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
POMC,POMC_-POMC-1-All,negative,58.005577913356205,12.97631484304088,small_fragment,"m/z 58.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
POMC,POMC_-POMC-1-All,negative,59.01330363136904,69.56358856673117,small_fragment,"m/z 59.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
POMC,POMC_-POMC-1-All,negative,61.02846499724932,42.8820366152318,small_fragment,"m/z 61.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
POMC,POMC_-POMC-1-All,negative,75.00803645892316,110.6855080406227,small_fragment,"m/z 75.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
POMH,POMH_+POMH-1-All,positive,29.002196079971604,293.25355521356823,small_fragment,"m/z 29.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
POMH,POMH_+POMH-1-All,positive,43.01624816407683,178.26706087445163,small_fragment,"m/z 43.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
POMH,POMH_+POMH-1-All,positive,44.02657023780984,1534.958908308376,small_fragment,"m/z 44.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
POMH,POMH_+POMH-1-All,positive,73.0266081948181,983.7944840709828,small_fragment,"m/z 73.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
POMH,POMH_+POMH-1-All,positive,89.01946712778847,1023.8708565079404,small_fragment,"m/z 89.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
POMH,POMH_+POMH-1-All,positive,105.04620172630632,166.5698175618291,medium_fragment,"m/z 105.0 in 100-300 range — medium fragment, likely structural or multi-bond break product","['C', 'O']"
POMH,POMH_+POMH-1-All,positive,119.0228482563905,84.61057081372405,medium_fragment,"m/z 119.0 in 100-300 range — medium fragment, likely structural or multi-bond break product","['C', 'O']"
POMH,POMH_-POMH-1-All,negative,25.00882858432823,207.23280374616607,small_fragment,"m/z 25.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
POMH,POMH_-POMH-1-All,negative,41.00448607574196,264.8131115812036,small_fragment,"m/z 41.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
POMH,POMH_-POMH-1-All,negative,43.01931500368366,72.62515545709384,small_fragment,"m/z 43.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
POMH,POMH_-POMH-1-All,negative,44.9987452545174,1135.4942035998065,small_fragment,"m/z 45.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
POMH,POMH_-POMH-1-All,negative,58.00638,3.371269529609828,small_fragment,"m/z 58.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
POMH,POMH_-POMH-1-All,negative,59.01418412337638,126.87258316704587,small_fragment,"m/z 59.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
POMH,POMH_-POMH-1-All,negative,61.02938966155419,89.97716630210061,small_fragment,"m/z 61.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
POMH,POMH_-POMH-1-All,negative,75.00939244997518,161.07154425378596,small_fragment,"m/z 75.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
PPS,PPS_+PPS-1,positive,27.022413895380577,40.43202798004702,small_fragment,"m/z 27.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'S']"
PPS,PPS_+PPS-1,positive,29.038374141631124,9.186208741853488,small_fragment,"m/z 29.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'S']"
PPS,PPS_+PPS-1,positive,39.02208223471282,48.64065516121018,small_fragment,"m/z 39.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'S']"
PPS,PPS_+PPS-1,positive,41.03835277364751,59.75670355293084,small_fragment,"m/z 41.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'S']"
PPS,PPS_+PPS-1,positive,44.97856316088853,12.045372016130576,small_fragment,"m/z 45.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'S']"
PPS,PPS_+PPS-1,positive,68.9776515486963,12.112742006383426,small_fragment,"m/z 69.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'S']"
PPS,PPS_+PPS-1,positive,300.7684247305694,56.82778128165434,large_fragment,m/z 300.8 in 300-500 range — large fragment or oligomer,"['C', 'S']"
PPS,PPS_-PPS-1,negative,25.00851957480343,1032.903068390107,small_fragment,"m/z 25.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'S']"
PPS,PPS_-PPS-1,negative,49.00827122837634,435.8750505843986,small_fragment,"m/z 49.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'S']"
PPS,PPS_-PPS-1,negative,56.980483085043325,436.3297150610583,small_fragment,"m/z 57.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'S']"
PPS,PPS_-PPS-1,negative,73.00750524542548,204.70018329405605,small_fragment,"m/z 73.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'S']"
PPS,PPS_-PPS-1,negative,80.97970398047396,325.04582351400893,small_fragment,"m/z 81.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'S']"
PPS,PPS_-PPS-1,negative,104.978370832309,150.27970196862577,medium_fragment,"m/z 105.0 in 100-300 range — medium fragment, likely structural or multi-bond break product","['C', 'S']"
