material,network_screen_rank,network_screen_score,support_class,interpretation_cn,peak_index,rank,mz,intensity,relative_intensity,polarity,rf_formula_raw,normalized_formula,rf_score,rf_ppm,same_material_mode_match,same_material_formula_match,generation_types,network_formula_modes,specificity_compound_count,all_network_compounds,formula_all_network_compounds
PEN,2,98.742,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,34,2,25.009,3531023.56,0.08724565491617114,-,C₂H⁻,C2H,100,-25.0,True,True,adduct,negative; neutral,4,EVA; PEN; PET; PVDF,COC; ETFE; EVA; PEI; PEN; PET; PVDF
PEN,3,98.612,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,82,16,41.0038,288094.26,0.007118324747538555,-,C₂HO⁻,C2HO,100,-12.5,True,True,adduct,negative; neutral,3,EVA; PEN; PET,EVA; PEN; PET; POMC; POMH
PEN,4,96.98,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,92,37,43.0182,91604.73,0.0022633988492189584,+,C₂H₃O⁺,C2H3O,100,-8.3,True,True,adduct,negative; neutral; positive,3,EVA; PEN; PET,COC; ETFE; EVA; PEN; PET; POMC; POMH; PVDF
PEN,5,96.059,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,39,9,27.0227,335855.79,0.008298431845053461,+,C₂H₃⁺,C2H3,100,8.4,True,True,adduct,negative; neutral; positive,4,EVA; PEN; PET; PVDF,COC; ETFE; EVA; PEI; PEN; PET; POMC; POMH; PVDF
PEN,6,93.44,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,760,291,244.0702,6693.36,0.00016538167102733895,+,¹³CC₁₃H₁₁O₄⁺,C14H11O4,88,2.0,True,True,adduct,negative; neutral; positive,1,PEN,PEN
PEN,7,93.313,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,818,173,289.0774,15742.69,0.0003889753993010056,+,C₁₅H₁₃O₆⁺,C15H13O6,67,-23.3,True,True,adduct,negative; neutral; positive,1,PEN,PEN
PEN,8,92.826,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,545,13,155.0485,254748.4,0.00629440461644689,+,C₁₁H₇O⁺,C11H7O,100,4.1,True,True,adduct,negative; neutral; positive,5,EVA; PEN; PET; POMC; POMH,EVA; PEEK; PEEK20%GFR; PEN; PET; PI; POMC; POMH
PEN,9,91.815,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,57,77,31.0195,19812.7,0.0004895385028690163,-,CH₃O⁻,CH3O,100,-18.1,True,True,adduct,negative; neutral; positive,4,PEN; PET; POMC; POMH,EVA; Nomex; PEEK; PEEK20%GFR; PEN; PET; POMC; POMH
PEN,10,91.811,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,36,37,26.0117,86340.5,0.0021333285774761796,-,¹³CCH⁻,C2H,85,20.3,True,True,adduct,negative; neutral,4,EVA; PEN; PET; PVDF,COC; ETFE; EVA; PEI; PEN; PET; PVDF
PFA,1,100.343,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,181,5,68.9957,2575085.69,0.028926418276622987,-,CF₃⁻,CF3,100,0.8,True,True,adduct,negative; neutral,3,FEP; PFA; PTFE,ETFE; FEP; PFA; PTFE
PFA,2,96.593,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,246,26,84.9904,111410.48,0.0012514947201152516,-,CF₃O⁻,CF3O,100,3.2,True,True,adduct,negative,3,FEP; PFA; PTFE,FEP; PFA; PTFE
PFA,3,95.845,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,698,98,254.9856,7474.99,8.396795811232754e-05,-,C₄HF₁₀O⁻,C4HF10O,100,6.7,True,True,adduct,negative,2,FEP; PFA,FEP; PFA
PFA,4,95.749,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,252,40,85.9956,62686.51,0.0007041692692415644,-,CHF₃O⁻,CHF3O,100,33.7,True,True,adduct,negative,3,FEP; PFA; PTFE,FEP; PFA; PTFE
PFA,5,94.611,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,629,60,219.002,27356.74,0.0003073033674171919,-,C₄H₃F₈O⁻,C4H3F8O,100,19.0,True,True,adduct,negative,3,FEP; PFA; PTFE,FEP; PFA; PTFE
PFA,6,93.026,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,367,39,116.9926,70625.48,0.0007933492013103732,-,C₂HF₄O⁻,C2HF4O,100,36.8,True,True,adduct,negative,4,ETFE; FEP; PFA; PTFE,ETFE; FEP; PFA; PTFE
PFA,7,92.667,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,511,108,165.9863,5758.38,6.4684957523002e-05,-,C₃F₆O⁻,C3F6O,100,-2.5,True,True,adduct,negative,3,FEP; PFA; PTFE,FEP; PFA; PTFE
PFA,8,92.398,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,184,59,69.9979,27940.05,0.0003138557975403763,-,¹³CF₃⁻,CF3,85,17.4,True,True,adduct,negative; neutral,3,FEP; PFA; PTFE,ETFE; FEP; PFA; PTFE
PFA,9,92.184,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,171,13,66.9978,306167.09,0.003439232077700869,-,CHF₂O⁻,CHF2O,100,34.3,True,True,adduct,negative,5,ETFE; FEP; PFA; PTFE; PVDF,ETFE; FEP; PFA; PTFE; PVDF
PFA,10,91.715,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,308,61,99.9923,26738.27,0.0003003559784502861,-,C₂F₄⁻,C2F4,100,18.6,True,True,adduct,negative; neutral,4,ETFE; FEP; PFA; PTFE,ETFE; FEP; PFA; PTFE; PVDF
PI,1,84.818,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,229,9,73.0079,574637.57,0.009885948182120699,-,C₆H⁻,C6H,100,6.5,True,True,adduct,negative; neutral,12,COC; EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR,COC; EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR
PI,2,82.978,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,305,26,89.0074,139896.36,0.002406748597776687,-,C₆HO⁻,C6HO,100,-46.2,True,True,adduct,negative; neutral,8,EVA; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH,EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH
PI,3,82.935,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,248,21,77.0379,121922.54,0.002097530644702779,+,C₆H₅⁺,C6H5,100,8.8,True,True,adduct,negative; neutral; positive,13,COC; EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR,COC; EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR
PI,4,82.279,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,238,32,75.0226,79709.37,0.0013713038314732643,+,C₆H₃⁺,C6H3,100,4.3,True,True,adduct,negative; neutral; positive,12,COC; EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR,COC; EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR
PI,5,81.899,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,260,41,79.0536,65321.98,0.0011237860925687902,+,C₆H₇⁺,C6H7,100,7.9,True,True,adduct,positive,13,COC; EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR,COC; EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR
PI,6,81.759,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,239,49,75.0237,66601.32,0.0011457955983992468,-,C₆H₃⁻,C6H3,100,4.3,True,True,adduct,negative; neutral; positive,13,COC; EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR,COC; EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR
PI,7,80.333,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,244,56,76.0285,44967.73,0.0007736157046738077,+,C₆H₄⁺,C6H4,94,29.6,True,True,adduct,negative; neutral; positive,13,COC; EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR,COC; EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR
PI,8,80.024,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,253,63,78.0432,37616.06,0.0006471390653687039,+,C₆H₆⁺,C6H6,94,41.0,True,True,adduct,neutral; positive,13,COC; EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR,COC; EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR
PI,9,79.959,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,314,94,91.0205,25808.82,0.0004440097036496941,-,C₆H₃O⁻,C6H3O,100,-17.1,True,True,adduct,negative; neutral; positive,12,EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR; STD001,EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR; STD001
PI,10,76.513,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,323,216,93.0343,6710.11,0.00011543937121328479,-,C₆H₅O⁻,C6H5O,100,3.1,True,True,adduct,negative; neutral; positive,12,EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR; STD001,EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR; STD001
PPS,1,100.962,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,524,16,140.979,246580.22,0.006747086255559736,-,C₆H₅S₂⁻,C6H5S2,97,34.2,True,True,adduct,negative; neutral; positive,2,PPS; PPS40%GFR,PPS; PPS40%GFR
PPS,2,96.965,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,516,61,138.9658,53826.79,0.0014728431785400314,-,C₆H₃S₂⁻,C6H3S2,87,17.0,True,True,adduct,negative; neutral,2,PPS; PPS40%GFR,PPS; PPS40%GFR
PPS,3,95.117,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,533,156,142.9945,13749.8,0.0003762308533778389,-,C₆H₇S₂⁻,C6H7S2,96,34.7,True,True,adduct,negative; neutral; positive,2,PPS; PPS40%GFR,PPS; PPS40%GFR
PPS,4,85.446,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,229,9,73.0079,646687.05,0.01769506616022758,-,C₆H⁻,C6H,100,6.5,True,True,adduct,negative; neutral,12,COC; EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR,COC; EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR
PPS,5,84.96,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,462,342,125.0013,2173.15,5.946312521040674e-05,-,C₆H₅OS⁻,C6H5OS,61,42.9,True,True,adduct,negative,2,PPS; PPS40%GFR,PPS; PPS40%GFR
PPS,6,82.776,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,248,16,77.0373,59613.8,0.00163119106074967,+,C₆H₅⁺,C6H5,100,16.6,True,True,adduct,negative; neutral; positive,13,COC; EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR,COC; EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR
PPS,7,82.295,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,238,21,75.0216,40893.77,0.0011189615838002782,+,C₆H₃⁺,C6H3,100,17.7,True,True,adduct,negative; neutral; positive,12,COC; EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR,COC; EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR
PPS,8,81.983,formula_only_mode_gap,同材料存在该分子式，但当前极性未覆盖，提示 ion rule 或极性分配缺口。,380,10,104.9789,570514.43,0.01561078203779483,-,C₆HS⁻,C6HS,97,14.7,False,True,,neutral,2,,PPS; PPS40%GFR
